customer,distribution_method,date,planned_method,final_method,completed_at,last_box_date,weekday,hour,morning_afternoon,is_unenrolled,deviation_from_plan,deviation_from_current,deviation_summary
Customer 12,pickup,2022-08-26,pickup,pickup,2022-08-26 12:56:03-04:00,,Friday,12,Morning,False,0,0,as planned
Customer 39,pickup,2022-08-26,pickup,pickup,2022-08-27 14:46:19-04:00,,Saturday,14,Afternoon,False,0,0,as planned
Customer 42,pickup,2022-08-26,pickup,pickup,2022-08-26 13:40:08-04:00,,Friday,13,Afternoon,False,0,0,as planned
Customer 10,pickup,2022-08-26,pickup,pickup,2022-08-27 14:14:33-04:00,,Saturday,14,Afternoon,False,0,0,as planned
Customer 52,delivery,2022-08-26,delivery,delivery,2022-08-26 22:22:40-04:00,,Friday,22,Afternoon,False,0,0,as planned
Customer 47,pickup,2022-08-26,pickup,pickup,2022-08-27 14:01:07-04:00,,Saturday,14,Afternoon,False,0,0,as planned
Customer 38,pickup,2022-08-26,pickup,reallocate,2022-08-27 19:23:54-04:00,,Saturday,19,Afternoon,False,1,1,reallocate
Customer 44,pickup,2022-08-26,pickup,pickup,2022-08-26 22:22:29-04:00,,Friday,22,Afternoon,False,0,0,as planned
Customer 37,pickup,2022-08-26,pickup,reallocate,2022-08-27 16:37:17-04:00,,Saturday,16,Afternoon,False,1,1,reallocate
Customer 46,pickup,2022-08-26,pickup,pickup,2022-08-27 11:15:19-04:00,,Saturday,11,Morning,False,0,0,as planned
Customer 21,delivery,2022-08-26,delivery,delivery,2022-08-26 22:22:43-04:00,,Friday,22,Afternoon,False,0,0,as planned
Customer 18,pickup,2022-08-26,pickup,pickup,2022-08-27 09:12:40-04:00,,Saturday,9,Morning,False,0,0,as planned
Customer 54,pickup,2022-08-26,pickup,delivery,2022-08-27 19:29:20-04:00,,Saturday,19,Afternoon,False,1,1,delivery
Customer 3,pickup,2022-09-02,pickup,pickup,2022-09-02 17:32:54-04:00,,Friday,17,Afternoon,False,0,0,as planned
Customer 6,pickup,2022-09-02,pickup,pickup,2022-09-03 16:45:05-04:00,,Saturday,16,Afternoon,False,0,0,as planned
Customer 53,pickup,2022-09-02,pickup,reallocate,2022-09-03 19:42:35-04:00,,Saturday,19,Afternoon,False,1,1,reallocate
Customer 40,delivery,2022-09-02,delivery,delivery,2022-09-02 13:13:41-04:00,,Friday,13,Afternoon,False,0,0,as planned
Customer 11,delivery,2022-09-02,delivery,delivery,2022-09-02 13:13:20-04:00,,Friday,13,Afternoon,False,0,0,as planned
Customer 51,pickup,2022-09-02,pickup,delivery,2022-09-03 19:38:09-04:00,,Saturday,19,Afternoon,False,1,1,delivery
Customer 27,pickup,2022-09-02,pickup,pickup,2022-09-03 09:37:46-04:00,,Saturday,9,Morning,False,0,0,as planned
Customer 2,delivery,2022-09-02,pickup,delivery,2022-09-03 19:36:49-04:00,,Saturday,19,Afternoon,False,1,0,as planned
Customer 20,pickup,2022-09-02,pickup,pickup,2022-09-02 16:04:49-04:00,,Friday,16,Afternoon,False,0,0,as planned
Customer 8,pickup,2022-09-02,pickup,pickup,2022-09-03 10:44:22-04:00,,Saturday,10,Morning,False,0,0,as planned
Customer 23,pickup,2022-09-02,pickup,pickup,2022-09-03 17:54:42-04:00,,Saturday,17,Afternoon,False,0,0,as planned
Customer 0,delivery,2022-09-02,delivery,delivery,2022-09-02 13:13:16-04:00,,Friday,13,Afternoon,False,0,0,as planned
Customer 43,pickup,2022-09-02,pickup,pickup,2022-09-03 14:19:56-04:00,,Saturday,14,Afternoon,False,0,0,as planned
Customer 16,delivery,2022-09-02,delivery,delivery,2022-09-02 13:13:23-04:00,,Friday,13,Afternoon,False,0,0,as planned
Customer 35,pickup,2022-09-02,pickup,delivery,2022-09-03 19:36:52-04:00,,Saturday,19,Afternoon,False,1,1,delivery
Customer 32,pickup,2022-09-02,pickup,pickup,2022-09-03 13:01:24-04:00,,Saturday,13,Afternoon,False,0,0,as planned
Customer 49,pickup,2022-09-02,pickup,pickup,2022-09-03 18:09:14-04:00,,Saturday,18,Afternoon,False,0,0,as planned
Customer 7,pickup,2022-09-02,pickup,pickup,2022-09-03 13:33:17-04:00,,Saturday,13,Afternoon,False,0,0,as planned
Customer 41,pickup,2022-09-02,pickup,pickup,2022-09-03 11:41:16-04:00,,Saturday,11,Morning,False,0,0,as planned
Customer 36,delivery,2022-09-02,delivery,delivery,2022-09-02 13:13:40-04:00,,Friday,13,Afternoon,False,0,0,as planned
Customer 22,delivery,2022-09-02,delivery,delivery,2022-09-02 13:13:35-04:00,,Friday,13,Afternoon,False,0,0,as planned
Customer 34,pickup,2022-09-02,pickup,pickup,2022-09-03 13:50:33-04:00,,Saturday,13,Afternoon,False,0,0,as planned
Customer 28,pickup,2022-09-02,pickup,pickup,2022-09-03 13:39:01-04:00,,Saturday,13,Afternoon,False,0,0,as planned
Customer 24,pickup,2022-09-02,pickup,delivery,2022-09-03 19:36:51-04:00,,Saturday,19,Afternoon,False,1,1,delivery
Customer 30,delivery,2022-09-02,delivery,delivery,2022-09-02 13:13:33-04:00,,Friday,13,Afternoon,False,0,0,as planned
Customer 15,delivery,2022-09-02,delivery,delivery,2022-09-02 13:13:22-04:00,,Friday,13,Afternoon,False,0,0,as planned
Customer 9,delivery,2022-09-02,delivery,delivery,2022-09-02 13:13:18-04:00,,Friday,13,Afternoon,False,0,0,as planned
Customer 19,pickup,2022-09-02,pickup,pickup,2022-09-02 16:19:10-04:00,,Friday,16,Afternoon,False,0,0,as planned
Customer 50,pickup,2022-09-02,pickup,pickup,2022-09-03 12:53:05-04:00,,Saturday,12,Morning,False,0,0,as planned
Customer 33,delivery,2022-09-02,delivery,delivery,2022-09-02 13:13:39-04:00,,Friday,13,Afternoon,False,0,0,as planned
Customer 48,pickup,2022-09-02,pickup,pickup,2022-09-03 16:45:06-04:00,,Saturday,16,Afternoon,False,0,0,as planned
Customer 26,delivery,2022-09-02,delivery,delivery,2022-09-02 16:59:02-04:00,,Friday,16,Afternoon,False,0,0,as planned
Customer 31,delivery,2022-09-02,delivery,delivery,2022-09-02 16:59:03-04:00,,Friday,16,Afternoon,False,0,0,as planned
Customer 4,pickup,2022-09-02,pickup,pickup,2022-09-03 13:51:54-04:00,,Saturday,13,Afternoon,False,0,0,as planned
Customer 55,delivery,2022-09-02,delivery,delivery,2022-09-02 13:13:17-04:00,,Friday,13,Afternoon,False,0,0,as planned
